¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¿˙±‚ø¬(°∆C),√÷∞Ì±‚ø¬(°∆C),10∫– √÷¥Ÿ ∞≠ºˆ∑Æ(mm),1Ω√∞£ √÷¥Ÿ∞≠ºˆ∑Æ(mm),¿œ∞≠ºˆ∑Æ(mm),√÷¥Î º¯∞£ «≥º”(m/s),√÷¥Î «≥º”(m/s),∆Ú±’ «≥º”(m/s),√÷º“ ªÛ¥ÎΩ¿µµ(%),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
90,º”√ ,2023-07-18,25,22.7,28.1,.3,.7,.7,5.8,3.7,1.2,73,87
90,º”√ ,2023-07-19,23.8,21.4,27.5,,,,6.4,4.6,1.8,72,86.3
90,º”√ ,2023-07-20,23.8,20.6,27.8,,,,5.5,3.6,1.4,75,88.9
90,º”√ ,2023-07-21,24.6,22.4,27.8,,,,5.9,3.5,1.5,78,88.5
90,º”√ ,2023-07-22,24.9,22.9,28,.1,.1,.1,8.2,5.4,1.8,74,85.9
90,º”√ ,2023-07-23,24.5,22.6,28.7,.8,1.3,3.5,11,4.5,1.6,62,84
90,º”√ ,2023-07-24,26.3,23,31.9,2.2,6.7,8.5,5.4,3.8,1.4,59,81.6
90,º”√ ,2023-07-25,27.3,23.8,32.9,,,,6.1,3.5,1.4,56,71.9
90,º”√ ,2023-07-26,27,23.9,31,.9,1.5,2.8,5.7,3.5,1.3,64,77.5
90,º”√ ,2023-07-27,28.5,25.7,32.5,,,,7.1,4.5,1.8,55,70.6
90,º”√ ,2023-07-28,28.2,25.1,32.1,,,,3.6,2.7,1.2,58,76.3
90,º”√ ,2023-07-29,29,24.5,33.4,0,0,0,5.4,3.9,1.5,58,71.8
90,º”√ ,2023-07-30,29.1,24.1,35.1,,,,5.8,4.1,1.5,41,66.9
90,º”√ ,2023-07-31,27.7,25,30.6,,,,4.4,3,1,64,77
90,º”√ ,2023-08-01,27.2,23.4,31.8,,,,4.9,3.5,1.4,65,81.4
90,º”√ ,2023-08-02,30.3,25.3,34.9,,,,6.4,4.2,1.4,48,67.6
90,º”√ ,2023-08-03,31.5,25.1,36.3,,,,10,4.7,1.8,36,54.4
90,º”√ ,2023-08-04,31.2,26.7,36.6,,,,8.4,3.5,1.6,42,60.6
90,º”√ ,2023-08-05,31,26.2,35.8,,,,6.6,4.3,1.7,41,63.1
90,º”√ ,2023-08-06,27,25.4,30,14.5,37.4,55,,,,77,88.4
90,º”√ ,2023-08-07,23.8,21.6,26.1,15.5,47.7,67.3,,,,80,89.5
90,º”√ ,2023-08-08,22.8,21.2,24.3,.2,.4,.4,,,,80,86.1
90,º”√ ,2023-08-09,21.8,21.1,23.1,4.8,20.6,34.1,5.7,3.4,,83,91.9
90,º”√ ,2023-08-10,22.2,20.8,24.2,16.8,91.3,368.7,18.6,11.2,4.9,94,95
90,º”√ ,2023-08-11,25.4,22.1,31.6,.3,.3,.3,9.9,5.4,1.3,44,76.8
90,º”√ ,2023-08-12,23.2,21.8,24.4,.1,.1,.1,4,3.2,1,83,87.8
90,º”√ ,2023-08-13,22.8,22,24.8,0,0,0,3.4,2.6,1,86,91.6
90,º”√ ,2023-08-14,23.2,21.7,26.4,0,0,0,4.4,3.1,1.3,80,91.1
90,º”√ ,2023-08-15,22.1,21.5,23.2,.4,1,1.8,5.9,4.1,2.2,83,91.3
90,º”√ ,2023-08-16,23.2,21.2,25.9,0,0,0,5.4,3.8,1.3,76,86.6
90,º”√ ,2023-08-17,24.1,21.9,27.4,,,,5.2,3.5,1.5,78,88.1
90,º”√ ,2023-08-18,24.1,21.9,27.7,.1,.2,.2,5.4,3.5,1.3,79,89.1
90,º”√ ,2023-08-19,24.5,21.7,27.5,,,,3.4,2.3,1,78,89
90,º”√ ,2023-08-20,24.7,23.6,27,2.5,6.6,6.7,4.2,2.7,1,82,90.6
90,º”√ ,2023-08-21,25.6,22.9,28.7,,,,5.3,3.3,1.1,80,91
90,º”√ ,2023-08-22,26.7,23.1,34.1,.3,.3,.3,7.5,4.4,1.2,50,82.3
90,º”√ ,2023-08-23,23.4,20.5,29.2,10.3,21.8,59.7,11.8,6.8,1.6,79,91.4
90,º”√ ,2023-08-24,22.3,20.9,24.3,3.9,9.9,29.7,5.1,2.9,1.1,87,92.9
90,º”√ ,2023-08-25,23.7,21.4,26.7,1.4,3.9,6.5,5.2,3.4,1.5,69,87.3
90,º”√ ,2023-08-26,24.6,20.6,29.3,,,,6.1,3.4,1,60,76.5
90,º”√ ,2023-08-27,23.1,21,25.9,,,,4.7,2.8,1.4,82,87
90,º”√ ,2023-08-28,21.5,20.6,22.5,.7,2.3,13.9,3.4,2.1,1.1,85,93.3
90,º”√ ,2023-08-29,23.9,21.8,26,.6,1.5,1.9,4.2,2.2,.7,82,93.3
90,º”√ ,2023-08-30,22.5,20.7,24.9,2.6,9.1,23,4.8,3.1,1.1,71,89.9
90,º”√ ,2023-08-31,22.5,19.1,26.6,,,,6,4,1.5,61,84.6
90,º”√ ,2023-09-01,22.8,17.6,28.9,,,,6.9,4,1.6,47,76.9
90,º”√ ,2023-09-02,22.7,19,26.7,,,,3.2,2.2,1.1,64,75.4
90,º”√ ,2023-09-03,22.5,20.3,24.6,.7,.7,.7,3.5,2.8,1,80,88.1
90,º”√ ,2023-09-04,23.6,21.9,26.4,,,,5.5,3.4,1.3,73,87
90,º”√ ,2023-09-05,23.7,21.6,27,,,,4.3,3.3,1.2,75,87.3
90,º”√ ,2023-09-06,23.4,20.5,27,.3,.3,.3,4.9,3.6,1.7,77,84.1
90,º”√ ,2023-09-07,22.4,18.7,27,,,,3.8,2.4,1.5,66,81
90,º”√ ,2023-09-08,22.3,18.4,27.2,,,,5,3.2,1.8,65,78.8
90,º”√ ,2023-09-09,22.1,17.4,26.8,,,,5.7,3.7,1.6,61,79.5
90,º”√ ,2023-09-10,22.3,18.3,26.2,,,,4,2.5,1.1,68,81.3
90,º”√ ,2023-09-11,23,19.2,26.2,,,,4.1,2.7,1.2,72,81.9
90,º”√ ,2023-09-12,24.4,20.7,28.5,,,,5.1,3.4,1.1,61,80.1
90,º”√ ,2023-09-13,20.2,18.3,23.2,7.2,18.7,76.8,7.4,3.8,1,81,93.8
90,º”√ ,2023-09-14,21.1,18.7,23.5,1.5,1.9,5.7,8.8,5,1.9,78,88
90,º”√ ,2023-09-15,21,19.7,21.8,.7,2,7,3.2,1.8,.9,85,91.9
90,º”√ ,2023-09-16,21.5,20.2,23.2,2.2,4.5,11.4,4.9,3.1,1,87,93.5
90,º”√ ,2023-09-17,22,20.3,23.7,2,4.4,10.6,5.7,3.5,1.3,87,92.9
90,º”√ ,2023-09-18,23.1,20.2,26.1,.2,.2,.2,5.3,4,1.3,80,88.9
90,º”√ ,2023-09-19,25.9,20.6,30.6,,,,6.7,3.4,1.6,48,61.6
90,º”√ ,2023-09-20,19.6,16.3,25.5,2.7,9.7,61.1,13,8.1,2.6,63,88.5
90,º”√ ,2023-09-21,17.7,14,22,.6,1.6,1.9,11,5.6,2.1,56,76.9
90,º”√ ,2023-09-22,18.5,13.6,23.2,,,,4.3,2.9,1.4,60,75.4
90,º”√ ,2023-09-23,20.4,16.2,23.8,,,,9,5.7,2.6,59,69.6
90,º”√ ,2023-09-24,19.3,15,23.7,,,,4.6,3.1,1.7,48,67.5
90,º”√ ,2023-09-25,,16.9,21.7,.5,1.2,1.3,3.4,2.2,1.2,71,
90,º”√ ,2023-09-26,18.8,17.7,19.9,1,3,22.1,3.9,2.2,1,89,95.9
90,º”√ ,2023-09-27,19.5,18.2,20.7,.4,2,9.1,3.5,2.2,1.1,92,95.5
90,º”√ ,2023-09-28,23.8,18.9,29.2,,,,8.1,3.4,1.2,40,65.8
90,º”√ ,2023-09-29,20.4,17.5,23.8,,,,5.1,3.8,1.6,39,65.6
90,º”√ ,2023-09-30,21.3,17.7,25.9,,,,7.2,3.8,1.7,39,57
90,º”√ ,2023-10-01,19.3,15.8,23.1,,,,7.9,5.1,2.4,35,48
90,º”√ ,2023-10-02,18.1,13.3,23.2,,,,6.3,3.9,1.7,24,46.8
90,º”√ ,2023-10-03,18,12.7,23.1,,,,5.6,3.5,1.3,42,56.3
90,º”√ ,2023-10-04,19.8,14.6,25.5,,,,8.1,4,1.9,35,51.9
90,º”√ ,2023-10-05,15.5,11.4,20,,,,8,4.6,2.1,26,42.5
90,º”√ ,2023-10-06,15.3,9.8,20.8,,,,4.6,3,1.4,28,48.8
90,º”√ ,2023-10-07,17.4,11.1,21.8,1.3,1.9,2.4,7.4,4.4,1.6,41,63.9
90,º”√ ,2023-10-08,15.2,12.9,19.4,2.7,6,18.7,4.2,2.7,1.4,53,81.6
90,º”√ ,2023-10-09,16,11.9,19.5,0,0,0,4.8,2.8,1.7,63,76.3
90,º”√ ,2023-10-10,16.1,12.2,20.8,.4,1,1.3,6.9,4.2,2.1,50,73.4
90,º”√ ,2023-10-11,16.1,11.6,22.2,,,,5.5,3.1,1.6,47,69
90,º”√ ,2023-10-12,16.5,12.6,20.8,,,,6.5,4.4,1.8,60,75.3
90,º”√ ,2023-10-13,17.1,13,22.1,,,,5.2,3.3,1.5,59,75.6
90,º”√ ,2023-10-14,15.8,12.1,21.5,.4,.4,.7,4.5,2.2,1.1,49,69.3
90,º”√ ,2023-10-15,18.4,13,22.9,,,,7.9,3.7,1.8,38,52.3
90,º”√ ,2023-10-16,15.8,11.6,19.1,.5,.5,.6,6.9,3.9,1.6,51,70.4
90,º”√ ,2023-10-17,14.6,9.5,19.6,,,,6.5,4.4,1.9,36,62.4
90,º”√ ,2023-10-18,19,9.9,25,,,,12,6,1.9,23,45
90,º”√ ,2023-10-19,19,17.2,21.2,0,0,0,11.1,5.3,2.5,42,57.3
90,º”√ ,2023-10-20,13.5,8.5,17.3,,,,9.9,6.1,2.6,18,36.1
90,º”√ ,2023-10-21,10.8,7.7,16.6,,,,8.9,5.4,2.3,29,44.6
90,º”√ ,2023-10-22,15.1,6.3,20.9,,,,11.5,5.4,2.1,22,39.1
90,º”√ ,2023-10-23,16.5,10.3,22.2,,,,6.5,3.2,1.3,34,53.9
90,º”√ ,2023-10-24,17,11.8,23.1,,,,7.3,3.2,1.4,36,52.8
90,º”√ ,2023-10-25,18.5,14.2,23.6,,,,6.2,4.2,1.6,44,55.6
90,º”√ ,2023-10-26,19.3,14,24,.3,.4,.4,7.8,4.7,1.9,42,52.4
90,º”√ ,2023-10-27,12.3,9.1,17.7,1.6,4.3,7.3,11.5,6.8,2.2,53,79
90,º”√ ,2023-10-28,13.1,8.9,17.9,0,0,0,5.3,3.3,1.4,62,77.4
90,º”√ ,2023-10-29,13.6,9.6,19,,,,6.3,4.5,2,51,73.3
90,º”√ ,2023-10-30,15.9,9.1,21.8,,,,5.7,3.9,1.1,40,62.8
90,º”√ ,2023-10-31,18.4,11.2,22.1,,,,9.7,5.1,1.4,27,48.5
90,º”√ ,2023-11-01,21.2,16.6,24.6,,,0,12.3,5.1,2,41,55.3
90,º”√ ,2023-11-02,22,17.5,27.5,,,,11.8,4.7,1.9,18,49.9
90,º”√ ,2023-11-03,19.3,15.5,26.1,,,27.7,13.7,6.8,2.7,18,63.4
90,º”√ ,2023-11-04,13.5,12.7,16.1,,,19.9,9.6,5.7,1.8,81,92.9
90,º”√ ,2023-11-05,14.4,13.2,16,,,4.1,6.5,4.2,1.5,83,90.6
90,º”√ ,2023-11-06,16.5,8.9,24.2,,,8,23.4,12.2,5.9,37,57.3
90,º”√ ,2023-11-07,9.5,6.1,14.8,,,,22.2,9.8,3.2,22,38.8
90,º”√ ,2023-11-08,9.5,5.6,14.3,,,,4.3,2.8,1.8,43,61.8
90,º”√ ,2023-11-09,13.3,5.6,20.4,,,,10.9,7.7,2.2,26,66.6
90,º”√ ,2023-11-10,9.5,2.5,15.4,,,,13.8,9.9,3.5,11,38.3
90,º”√ ,2023-11-11,4.9,1.4,9.6,,,,6.2,3.5,1.9,31,48.8
90,º”√ ,2023-11-12,3.5,-.5,8.4,,,,9,5.8,2.3,19,40.3
90,º”√ ,2023-11-13,4.8,-.1,10.5,,,,4.5,2.8,1.6,19,33.9
90,º”√ ,2023-11-14,6.7,2.3,11.7,,,,5.7,3.5,1.4,20,37.4
90,º”√ ,2023-11-15,8,3.7,12.8,,,,4.2,3,1.7,28,48.3
90,º”√ ,2023-11-16,8.1,4.7,11.1,,,0,7.3,3.6,1.3,47,60.5
90,º”√ ,2023-11-17,4.2,-1.3,8.6,,,,11.3,6.9,3.3,27,40
90,º”√ ,2023-11-18,3.9,-2.4,9.5,,,,13.7,9.3,3.3,21,31.8
90,º”√ ,2023-11-19,9.2,3.6,12.5,,,,16.1,9.6,3.4,27,43.8
90,º”√ ,2023-11-20,7.2,2.6,12.8,,,,6,3.7,1.8,32,51.8
90,º”√ ,2023-11-21,12,3.8,20.5,,,,6.2,2.9,1.2,13,35
90,º”√ ,2023-11-22,12.6,7.4,16.3,,,,8.1,3.9,1.7,23,51
90,º”√ ,2023-11-23,13.9,5.3,17.9,,,.4,19.8,9.6,4.7,16,36.1
90,º”√ ,2023-11-24,1.2,-2.5,5.3,,,,12.1,7,2.9,17,28
90,º”√ ,2023-11-25,.1,-4.9,4.8,,,,6.7,2.8,1.5,16,35
90,º”√ ,2023-11-26,5.5,1.2,10.2,,,,7.4,4.7,1.8,16,43
90,º”√ ,2023-11-27,8.2,4.2,11.4,,,0,11,5.2,2,41,57.4
90,º”√ ,2023-11-28,3.6,.5,7.6,,,,21.3,9.7,3.6,17.8,29
90,º”√ ,2023-11-29,1,-2.2,5.8,,,,13.2,6.8,2.9,20.4,35
90,º”√ ,2023-11-30,-2.4,-6,2,,,,9.7,4.9,1.5,26,34.3
90,º”√ ,2023-12-01,-.7,-4.4,4,,,,10.9,5,2,20,29.4
90,º”√ ,2023-12-02,3.9,-2.8,8.2,,,0,11,5.3,2.2,26,37.6
90,º”√ ,2023-12-03,2,-2.7,7.2,,,,6.6,4.7,1.5,30,45.3
90,º”√ ,2023-12-04,5.9,-1.1,11.5,,,,9.8,5.1,1.6,23,37
90,º”√ ,2023-12-05,6.9,1.9,12.4,,,,5.9,3.8,1.6,39,57.4
90,º”√ ,2023-12-06,8.9,3.1,13.6,,,.3,8.4,4.8,1.7,41,55
90,º”√ ,2023-12-07,7.9,3.5,10.7,,,,14.6,8,4.3,21,34.9
90,º”√ ,2023-12-08,12.7,4.8,17.3,,,,15.6,7.1,2.4,36,52.1
90,º”√ ,2023-12-09,14,8.8,19,,,,11.3,5.3,2,42,60.9
90,º”√ ,2023-12-10,9.3,6.9,11.3,,,22.4,9.6,6.9,2.8,62,79.3
90,º”√ ,2023-12-11,6.8,3.2,9.7,,,66.6,13,8,5.7,85,89.6
90,º”√ ,2023-12-12,2.5,.1,4.5,,,11.5,10.4,6.7,2.4,82,90.3
90,º”√ ,2023-12-13,4.7,-.2,10.2,,,,8.4,4.9,1.6,60,82.3
90,º”√ ,2023-12-14,4.9,2.2,6.9,,,38.2,9.3,5.2,2.6,75,89
90,º”√ ,2023-12-15,2,.1,3.5,,,38.1,11.2,7.6,3.4,85,92.6
90,º”√ ,2023-12-16,-1.7,-7.9,3.7,,,.4,18.1,9.7,3.7,35,57
90,º”√ ,2023-12-17,,-8.5,-4.9,,,0,7,3.5,1.7,24,
90,º”√ ,2023-12-18,-4.8,-10.5,-1.2,,,,5.7,3,1.3,17,29
90,º”√ ,2023-12-19,-2.5,-6.6,1.4,,,,5,3.2,1.3,25,49
90,º”√ ,2023-12-20,-5,-9.8,-2,,,,16.3,10.5,4.5,27,38.9
90,º”√ ,2023-12-21,-8.9,-13.1,-4.7,,,,15.9,8.2,2.4,22,30.5
90,º”√ ,2023-12-22,-8.4,-13.2,-3.4,,,,11.4,6.5,2.1,21,32.6
90,º”√ ,2023-12-23,-4.2,-9.3,.8,,,,6.7,4.2,1.5,22,31
90,º”√ ,2023-12-24,-.7,-4.8,3.3,,,,8.1,4.6,1.9,31,41.5
90,º”√ ,2023-12-25,1.1,-1.6,4.4,,,,10.1,6.3,2.1,33,46.1
90,º”√ ,2023-12-26,3.1,-.7,6.3,,,,17.1,11.7,3.4,27,48.3
90,º”√ ,2023-12-27,.5,-3.4,6.1,,,,4.2,2.6,1.5,43,65.3
90,º”√ ,2023-12-28,2.4,-2.6,7.6,,,,12.2,6.3,2.1,24,53
90,º”√ ,2023-12-29,3,-2.3,8.9,,,,4.8,2.6,1.1,32,50
90,º”√ ,2023-12-30,2.2,.1,4.6,,,.7,6,3.9,1.2,49,73.1
90,º”√ ,2023-12-31,1.6,.2,3.3,,,26.8,9.6,4.5,1.9,73,90.1
90,º”√ ,2024-01-01,2.7,.9,6.1,,,.4,4.5,2.3,1,58,81.6
90,º”√ ,2024-01-02,,1.1,7.3,,,0,9.8,4.7,1.8,40,
90,º”√ ,2024-01-03,3.1,.2,6.7,,,,7.8,4.6,1.6,41,52.9
90,º”√ ,2024-01-04,2.9,-2.3,6.6,,,,16.4,9.9,1.9,32,49.8
90,º”√ ,2024-01-05,7.7,4.7,10.3,,,,11.2,5.2,2.6,36,45.3
90,º”√ ,2024-01-06,2.8,-.3,6.5,,,,9.8,5.7,2.1,21,37
90,º”√ ,2024-01-07,-2.3,-6.3,.8,,,,12.6,7.1,2.7,15,30.8
90,º”√ ,2024-01-08,-2.5,-9.2,3.4,,,,14.6,4.6,1.6,14,30.8
90,º”√ ,2024-01-09,2.2,-.9,4.8,,,,10.4,4.8,2.1,43,54.4
90,º”√ ,2024-01-10,1.1,-2.1,4.4,,,,5.7,3.2,1.6,45,59.8
90,º”√ ,2024-01-11,3.1,-2.8,5.5,,,,17.7,11.5,4.3,24,43.4
90,º”√ ,2024-01-12,4.2,1.6,8.3,,,,10.2,4.9,2,15,28.9
90,º”√ ,2024-01-13,-.1,-4.1,2.7,,,,8.4,4.1,1.9,23,42.9
90,º”√ ,2024-01-14,3.8,-3.8,11,,,0,11.7,5.4,2.3,22,47.1
90,º”√ ,2024-01-15,0,-3.2,3.6,,,,6.1,3.8,1.7,35,46.4
90,º”√ ,2024-01-16,.5,-4.4,5.7,,,,6,4.1,1.9,33,43.5
90,º”√ ,2024-01-17,6,-2,9.8,,,0,10.5,5.2,2.1,13,43.5
90,º”√ ,2024-01-18,4.7,3.4,6.8,,,0,8.1,4.7,2.8,65,73.5
90,º”√ ,2024-01-19,2.3,1,3.5,,,0,7.6,4.3,2.4,67,74.3
90,º”√ ,2024-01-20,1,-.7,2.5,,,9.3,9.6,6.1,3.9,66,87.3
90,º”√ ,2024-01-21,-.1,-.8,.8,,,1.9,7.3,4.2,1.7,83,90.8
90,º”√ ,2024-01-22,-4.7,-9.8,1.7,,,,19.1,10.4,3.4,36,51
90,º”√ ,2024-01-23,-10.1,-12.3,-6.7,,,,8.1,5.2,2.2,32,43.5
90,º”√ ,2024-01-24,-7.9,-12.2,-3.4,,,,7.4,4.1,1.7,27,37.6
90,º”√ ,2024-01-25,-4.3,-9.7,.5,,,,6,3.7,1.8,23,38.9
90,º”√ ,2024-01-26,-.2,-6.1,3.7,,,,4.7,3.2,1.5,28,42.6
90,º”√ ,2024-01-27,.7,-2.3,5.3,,,,5.5,3.6,1.5,27,49
90,º”√ ,2024-01-28,-.7,-4.8,4.3,,,,5.1,3.1,1.4,31,59.5
90,º”√ ,2024-01-29,-.8,-5,4.3,,,,4.1,3,1.1,42,64.4
90,º”√ ,2024-01-30,-.8,-4.2,3.5,,,,3.7,2.6,1.3,48,70.8
90,º”√ ,2024-01-31,3.6,-3.2,11.1,,,,6,3.8,1.6,28,59.6
90,º”√ ,2024-02-01,-.1,-2.5,4.9,,,2.6,10.2,5.9,3,48,83
90,º”√ ,2024-02-02,-.7,-2.4,1.7,,,.3,3.3,2,.9,78,87.3
90,º”√ ,2024-02-03,1.1,-1.6,3,,,,5.1,3.2,1.3,76,82.3
90,º”√ ,2024-02-04,1.8,1,2.8,,,0,5,3.3,1.4,76,78.9
90,º”√ ,2024-02-05,0,-2.3,2.8,,,14.7,8.6,5.7,3.1,79,89.3
90,º”√ ,2024-02-06,-1,-2.7,2.1,,,,3.3,2,1,57,76.9
90,º”√ ,2024-02-07,-.7,-3.3,3,,,,4.5,3.2,1.4,63,83
90,º”√ ,2024-02-08,-.3,-4.6,4.8,,,,3.1,2.5,1.1,51,72.5
90,º”√ ,2024-02-09,.9,-2.8,5.2,,,,4.4,3.2,1.2,43,69
90,º”√ ,2024-02-10,2.2,-2.5,7.1,,,,7.3,4,1.6,34,52.1
90,º”√ ,2024-02-11,1.7,-3.6,6.2,,,,8.5,5.6,1.7,24,46.4
90,º”√ ,2024-02-12,4.1,-3.4,9.6,,,,9.7,6.1,1.4,24,51.3
90,º”√ ,2024-02-13,11.9,8.2,14.8,,,,12.9,7.2,3.5,33,41.6
90,º”√ ,2024-02-14,13.5,11.2,18.1,,,,13.5,7.5,2.5,42,55.4
90,º”√ ,2024-02-15,1.6,-1.6,14.9,,,39.2,7.2,4.7,1.8,52,90
90,º”√ ,2024-02-16,-.1,-5.6,4.7,,,,3.9,2.6,1.2,57,77.9
90,º”√ ,2024-02-17,3.9,-2,10.9,,,,4.1,2.2,1.2,29,59.4
90,º”√ ,2024-02-18,6.2,.8,10.5,,,0,3.7,2.4,1,38,60.4
90,º”√ ,2024-02-19,5.4,4.1,9.4,,,10.2,7.2,4.4,1.6,75,92.9
90,º”√ ,2024-02-20,1.6,.6,4.2,,,17.4,7.6,4.5,2.7,89,94
90,º”√ ,2024-02-21,-.2,-1.7,1.1,,,26.7,8.4,5.3,3.6,88,93.9
90,º”√ ,2024-02-22,-1.7,-2.9,0,,,8.6,8.6,5.5,2.6,60,84.4
90,º”√ ,2024-02-23,-1.6,-3.8,1.3,,,2.5,5.7,3.5,1.3,66,84.6
90,º”√ ,2024-02-24,-.4,-4.5,2.3,,,1.2,2.7,2.1,1.1,60,78
90,º”√ ,2024-02-25,.6,-1.4,3.1,,,2,7.4,4.7,1.6,77,88.6
90,º”√ ,2024-02-26,1.3,-1.6,3.9,,,,4.4,2.9,1.5,60,79.5
90,º”√ ,2024-02-27,1.3,-1.4,4.6,,,.3,4.7,3.3,1.6,52,73.6
90,º”√ ,2024-02-28,1.3,-2.8,3.9,,,,4.9,3.4,1.2,65,80.3
90,º”√ ,2024-02-29,2.4,-.3,5.3,,,,4.2,2.5,1,65,81.5
90,º”√ ,2024-03-01,-1.8,-6.5,1.9,,,,13.4,7.3,2.9,16,29.3
90,º”√ ,2024-03-02,-.5,-7.4,3.5,,,0,14.4,6.9,2.9,24,41.1
90,º”√ ,2024-03-03,3.6,.6,7.4,,,.1,8.9,4.6,2.2,28,49.3
90,º”√ ,2024-03-04,3.6,-.3,6.9,,,,4.9,3,1.5,29,51.4
90,º”√ ,2024-03-05,2.4,.9,5.1,,,7,6.4,3.2,1.7,53,80.4
90,º”√ ,2024-03-06,1.5,-.3,3.4,,,1.8,5.4,2.8,1.5,66,81.3
90,º”√ ,2024-03-07,.9,-1.1,3.3,,,2.2,4.9,3.7,1,68,84.1
90,º”√ ,2024-03-08,2.9,.1,7,,,,10.2,5.6,3.3,26,40.9
90,º”√ ,2024-03-09,.3,-2.2,3.9,,,,5.5,3.7,1.9,37,51.1
90,º”√ ,2024-03-10,4.5,-3.3,8.9,,,,8,5.6,2,23,50.4
90,º”√ ,2024-03-11,7.5,4.3,11.7,,,,6.3,3.7,1.3,15,36.1
90,º”√ ,2024-03-12,3.7,-.5,7.8,,,,8.7,5.3,1.7,55,72.5
90,º”√ ,2024-03-13,7.3,-1.8,14.8,,,,11.2,5.7,2.1,20,49
90,º”√ ,2024-03-14,12.1,5.5,17.1,,,,9.8,4.7,2.5,15,28
90,º”√ ,2024-03-15,15.9,10.5,20.6,,,,19.7,11.2,3.9,18,25.4
90,º”√ ,2024-03-16,8.7,4.9,14.8,,,,5.3,3,1.5,30,74.3
90,º”√ ,2024-03-17,10.3,4.3,16.7,,,,13.6,7.9,3.9,19,42.8
90,º”√ ,2024-03-18,6.2,-.2,9.6,,,,8.7,6,2.2,24,44.8
90,º”√ ,2024-03-19,6.3,.1,12.4,,,10.1,15.1,9.3,2.8,18,56.3
90,º”√ ,2024-03-20,2.8,-.5,6.1,,,3.8,10.8,5.9,2.1,38,60.8
90,º”√ ,2024-03-21,3.7,-.2,7.2,,,,6.8,4.6,2.1,38,51.9
90,º”√ ,2024-03-22,4.7,.2,10.1,,,4.6,7.7,5.1,2.2,53,76.3
90,º”√ ,2024-03-23,6.3,2.1,10.6,,,1.1,4.4,3.1,1.4,70,85.1
90,º”√ ,2024-03-24,7.8,3.8,10.4,,,,5,3.3,1.5,75,85.5
90,º”√ ,2024-03-25,6.2,3.4,8.5,,,9.1,7.4,4.9,2.2,84,90
90,º”√ ,2024-03-26,3.3,-.1,7.4,,,18.5,8.4,5,2,49,80.3
90,º”√ ,2024-03-27,7.6,.2,12.9,,,,8.4,6,2.1,54,77.4
90,º”√ ,2024-03-28,10.4,7.6,13.2,,,.3,7,3.9,1.1,50,70.5
90,º”√ ,2024-03-29,11.7,8.5,15.5,,,0,14.9,8.5,3.2,18,37.3
90,º”√ ,2024-03-30,8.8,3.7,17.5,,,0,16.6,8.1,2.6,15,49.9
90,º”√ ,2024-03-31,9.5,3.7,13.7,,,,6.7,4.9,1.7,21,41.4
90,º”√ ,2024-04-01,9.9,5.3,14.6,,,,6.9,4.6,1.8,26,48.6
90,º”√ ,2024-04-02,9.8,5.4,14.9,,,,6.7,5,1.7,33,66.1
90,º”√ ,2024-04-03,7.6,4.8,9.7,,,,7,5.1,2.4,59,78.3
90,º”√ ,2024-04-04,9.6,6.1,15.3,,,,5.4,3.7,1.4,31,64.1
90,º”√ ,2024-04-05,,6.9,14.3,,,,7.5,5.1,1.4,55,
90,º”√ ,2024-04-06,15.1,7.4,21.3,,,,9.5,6,1.9,28,51.4
90,º”√ ,2024-04-07,18,12.9,22.8,,,,10.3,6.7,2.3,21,36
90,º”√ ,2024-04-08,15.6,10.3,22,,,,12,7.5,2.1,31,50.4
90,º”√ ,2024-04-09,7.9,3.6,11.7,,,,7,4.4,2.4,40,52.5
90,º”√ ,2024-04-10,10.4,2.1,15.9,,,,9.3,6.1,2,38,64.9
90,º”√ ,2024-04-11,13.6,9.9,17.9,0,0,0,4.9,3.2,1.2,53,69.6
90,º”√ ,2024-04-12,15.5,8.7,22.6,,,,8.5,5.5,1.5,36,65.8
90,º”√ ,2024-04-13,17.7,12,24.7,,,,7.8,4.7,1.5,31,54.3
90,º”√ ,2024-04-14,17.6,12.5,24.8,,,,7.5,5.3,1.7,36,59
90,º”√ ,2024-04-15,13.1,10.5,16.3,1.3,3.9,6.9,6,3.4,1.4,78,90
90,º”√ ,2024-04-16,18.2,11,22.4,,,,11.2,6.5,3.4,32,47.4
90,º”√ ,2024-04-17,15.6,11.2,20,,,,4.8,3.3,1.9,41,57.1
90,º”√ ,2024-04-18,14.3,9.4,18.5,,,,8,5.8,2,62,75
90,º”√ ,2024-04-19,15.7,12.3,23.3,,,,7,4.8,2.1,32,67.3
90,º”√ ,2024-04-20,12,10.8,13,3.4,8.4,32.7,7.8,5,2.1,85,90.5
90,º”√ ,2024-04-21,12.5,10.8,13.9,1,3.3,18,8.6,5.7,3.2,89,93.8
90,º”√ ,2024-04-22,13.7,11.8,16.6,,,,5.3,3.9,2.1,71,85.4
90,º”√ ,2024-04-23,13,11.5,15.4,.2,.2,.2,8.2,5.4,3.3,68,80.6
90,º”√ ,2024-04-24,10.6,9.4,12,.8,1.9,5.6,9.6,6,3.3,70,83.3
90,º”√ ,2024-04-25,20.1,11.7,27.1,,,,12.5,6.9,2.2,24,44.5
